acl 2.3.2-2
artix-keyring 20250105-1
artix-mirrorlist 20260428-1
attr 2.5.2-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
base 3-5
base-devel 1-2
bash 5.3.9-1
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8.1
brotli 1.2.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.123.1-1
ca-certificates-utils 20240618-1
coreutils 9.11-1
curl 8.20.0-5
db5.3 5.3.28-7
dbus 1.16.2-1.1
dbus-openrc 20260324-1
debugedit 5.2-1
device-mapper 2.03.40-1
dhcpcd 10.3.1-1
dhcpcd-openrc 20210505-1
diffutils 3.12-2
e2fsprogs 1.47.4-1
efibootmgr 18-3
efivar 39-1
ell 0.83-1
elogind 255.22-4
elogind-openrc 20210704-1
esysusers 260.1-2
etmpfiles 260.1-2
ex-vi-compat 2-1
expat 2.8.0-1
fakeroot 1.37.2-1
fastfetch 2.62.1-1
file 5.47-3
filesystem 2025.10.12-1
findutils 4.10.0-3
flex 2.6.4-6
gawk 5.4.0-1
gc 8.2.12-1
gcc 16.1.1+r12+g301eb08fa2c5-1
gcc-libs 16.1.1+r12+g301eb08fa2c5-1
gdbm 1.26-2
gettext 1.0-2
git 2.54.0-1
glib2 2.88.1-1
glibc 2.43+r22+g8362e8ce10b2-2
gmp 6.3.0-3
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.13-1
go 2:1.26.3-1
gpgme 2.0.1-3
gpm 1.20.7.r38.ge82d1a6-6
grep 3.12-2
groff 1.24.1-1
grub 2:2.14-1
guile 3.0.11-1
gzip 1.14-2
hwdata 0.407-1
iana-etc 20260425-1
icu 78.3-1
inetutils 2.8-1
iproute2 7.0.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iwd 3.12-1
iwd-openrc 20210505-1
jansson 2.15.0-1
json-c 0.18-2
kbd 2.9.0-1
kexec-tools 2.0.32-1
keyutils 1.6.3-4
kmod 34.2-1
krb5 1.21.3-2
leancrypto 1.7.2-1
libarchive 3.8.7-1
